Sample,Condition
ERR1779294,WT
ERR1779295,WT
ERR1779296,WT
ERR1779297,WT
ERR1779298,WT
ERR1779299,WT
ERR1779300,WT
ERR1779301,WT
ERR1779302,WT
ERR1779303,WT
ERR1779304,WT
ERR1779305,WT
ERR1779306,WT
ERR1779307,WT
ERR1779308,WT
ERR1779309,WT
ERR1779310,WT
ERR1779311,WT
ERR1779312,WT
ERR1779313,WT
ERR1779314,WT
ERR1779315,WT
ERR1779316,WT
ERR1779317,WT
ERR1779318,WT
ERR1779319,WT
ERR1779320,WT
ERR1779323,WT
ERR1779326,WT
ERR1779329,WT
ERR1779330,WT
ERR1779331,WT
ERR1779332,WT
ERR1779333,WT
ERR1779334,WT
ERR1779336,WT
ERR1779338,WT
ERR1779339,WT
ERR1779340,WT
ERR1779342,WT
ERR1779344,WT
ERR1779345,WT
ERR1779346,WT
ERR1779347,WT
ERR1779348,WT
ERR1779349,WT
ERR1779350,WT
ERR1779351,WT
ERR1779352,WT
ERR1779353,WT
ERR1779354,WT
ERR1779355,WT
ERR1779357,WT
ERR1779359,WT
ERR1779361,WT
ERR1779363,WT
ERR1779364,WT
ERR1779366,WT
ERR1779368,WT
ERR1779369,WT
ERR1779370,WT
ERR1779371,WT
ERR1779372,WT
ERR1779373,WT
ERR1779374,WT
ERR1779375,WT
ERR1779376,WT
ERR1779377,WT
ERR1779378,WT
ERR1779379,WT
ERR1779380,WT
ERR1779381,WT
ERR1779382,WT
ERR1779383,WT
ERR1779384,WT
ERR1779385,WT
ERR1779386,WT
ERR1779387,WT
ERR1779388,WT
ERR1779389,WT
ERR1779390,WT
ERR1779391,WT
ERR1779392,WT
ERR1779393,WT
ERR1779395,WT
ERR1779398,WT
ERR1779399,WT
ERR1779400,WT
ERR1779401,WT
ERR1779402,WT
ERR1779403,WT
ERR1779406,WT
ERR1779407,EP
ERR1779408,EP
ERR1779409,EP
ERR1779411,EP
ERR1779412,EP
ERR1779413,EP
ERR1779414,EP
ERR1779415,EP
ERR1779416,EP
ERR1779417,EP
ERR1779418,EP
ERR1779420,EP
ERR1779422,EP
ERR1779423,EP
ERR1779424,EP
ERR1779425,EP
ERR1779426,EP
ERR1779427,EP
ERR1779429,EP
ERR1779430,EP
ERR1779431,EP
ERR1779432,EP
ERR1779433,EP
ERR1779434,EP
ERR1779435,EP
ERR1779438,EP
ERR1779441,EP
ERR1779442,EP
ERR1779443,EP
ERR1779444,EP
ERR1779445,EP
ERR1779446,EP
ERR1779448,EP
ERR1779450,EP
ERR1779451,EP
ERR1779452,EP
ERR1779454,EP
ERR1779456,EP
ERR1779457,EP
ERR1779458,EP
ERR1779461,EP
ERR1779462,EP
ERR1779464,EP
ERR1779465,EP
ERR1779466,EP
ERR1779468,EP
ERR1779469,EP
ERR1779470,EP
ERR1779471,EP
ERR1779474,EP
ERR1779476,EP
ERR1779478,EP
ERR1779480,EP
ERR1779481,EP
ERR1779483,EP
ERR1779485,EP
ERR1779486,EP
ERR1779487,EP
ERR1779488,EP
ERR1779489,EP
ERR1779490,EP
ERR1779491,EP
ERR1779492,EP
ERR1779493,EP
ERR1779494,EP
ERR1779495,EP
ERR1779496,EP
ERR1779497,EP
ERR1779498,EP
ERR1779499,EP
ERR1779500,EP
ERR1779501,EP
ERR1779502,EP
ERR1779504,EP
ERR1779505,EP
ERR1779510,EP
ERR1779511,EP
ERR1779512,EP
ERR1779513,EP
ERR1779514,EP
ERR1779515,EP
ERR1779516,EP
ERR1779517,EP
ERR1779518,EP
ERR1779519,EP
ERR1779520,EP
ERR1779523,EP
